Port_IDs,PnL,Total_Investment,PnL_StdDev,Win_Positions,Total_Positions,ROI,Sharpe_Ratio,MDD,Win_Rate,MDD_Score,Normalized_ROI,Normalized_Sharpe,Normalized_PnL,Normalized_Win_Rate,Score
3672754654734989568,566.59765978,118936.913901,6.451799122657953,210,474,0.4763850357271092,87.82010242541126,100,44.303797468354425,0.009900990099009901,0.0536354979356121,0.1264061900460189,0.15309973898201193,0.5519948726165678,0.18338090871950435
3733192481840423936,2923.97719988,1164472.4986,70.41844733899562,553,689,0.25109886265200626,41.52288654993944,100,80.2612481857765,0.009900990099009901,0.03541635382458219,0.11412654925467913,0.1810488112293427,1.0,0.27065007725408
3768170840939476993,243.66889897,2775.560153,41.022498585130585,6,14,8.779089104108492,5.93988438964375,100,42.857142857142854,0.009900990099009901,0.725084437159445,0.10468869264616994,0.1492710982760538,0.5339705502454145,0.37610149839126217
3784403294629753856,2521.81430468,742106.0000249,3.9107618567838616,1829,6050,0.3398186114376363,644.839649416519,100,30.231404958677686,0.009900990099009901,0.04259121887091999,0.2741472544159269,0.17628077128416536,0.3766625319444652,0.1791855762000885
3786761687746711808,205.02139999,61740.0093,11.620986242555336,37,82,0.3320721883823882,17.642340822952207,100,45.1219512195122,0.009900990099009901,0.041964756997729405,0.1077925933594192,0.14881289384914814,0.5621885061526927,0.17733832478147182
3788465932399412480,13960.96645667,1668362.82802,29.749289912078247,1369,3069,0.8368063722229275,469.2873846041559,100,44.607363962202676,0.009900990099009901,0.0827831734483842,0.22758465424142976,0.311903264186015,0.5557771025308796,0.24487805523608114
3818233536529843712,6419.60790714,813423.5021475,29.28185753007359,482,1421,0.789208559894292,219.23499561278913,100,33.919774806474315,0.009900990099009901,0.07893388527260221,0.16126201566010803,0.22249297986035288,0.4226170857443183,0.1859446808446375
3819545518395756033,980.0631999599999,142075.8616,67.12229094256563,26,68,0.6898168266747994,14.601158366281155,100,38.23529411764706,0.009900990099009901,0.07089596494108102,0.1069859654133826,0.15800178299219375,0.4763854909052228,0.17053353635438515
3826087012661391104,532.65697373,4373.7423342,7.3055823625850245,63,108,12.17851745780603,72.9109531990169,100,58.333333333333336,0.009900990099009901,1.0,0.12245176225716349,0.15269733849011013,0.7267932489451476,0.5013785689483853
3858510226868015873,-280.97295038999994,787392.77969,20.80661580951278,243,996,-0.035683963282038246,-13.504019729221854,100,24.397590361445783,0.009900990099009901,0.012223906800685433,0.0995314892669616,0.14305094886765016,0.30397721083247997,0.11396920084352496
3865845304835489536,1406.06618669,197878.2350777,6.544928305477614,451,882,0.710571420923522,214.8329395011444,100,51.13378684807256,0.009900990099009901,0.07257441212859382,0.1600944364272722,0.16305247086453797,0.6370918469859311,0.2148101735040274
3878631538480067329,3921.23304116,955332.7919834,8.93825036177692,1415,2811,0.4104572850492225,438.70252929237273,100,50.337958022056206,0.009900990099009901,0.04830384719947906,0.21947248097610877,0.1928722682004781,0.6271763666762518,0.22338547634031247
3879821005658659073,4268.00656095,207016.5657877,37.37970169828229,289,872,2.0616739267749873,114.17979189347376,100,33.142201834862384,0.009900990099009901,0.1818395788580022,0.13339770156389744,0.19698361217085156,0.41292906083580794,0.20420404758141306
3880920727367689984,-176.82699999000002,162140.697,31.570472983098846,49,145,-0.10905775247160807,-5.601024732339734,100,33.793103448275865,0.009900990099009901,0.0062900866244624855,0.10162763992963854,0.14428570239056954,0.42103884766477523,0.13626756299423642
3886752488982104320,7195.17832464,799961.5870758,25.982851666186072,931,1249,0.8994404782536418,276.9202709956491,100,74.5396317053643,0.009900990099009901,0.08784846346801933,0.1765621681046165,0.23168813628844356,0.928712590325425,0.2947372169940038
3887577207880438784,2417.51403674,1127093.056185,4.545387135469172,2893,6050,0.21449107715407584,531.8609756857302,100,47.81818181818182,0.009900990099009901,0.03245584137737523,0.24418135896710205,0.1750441881737735,0.5957816866677625,0.21372829818484118
3891020560590657281,2856.30056379,163834.4145645,15.113304301283254,283,437,1.7434069462039077,188.99246034154655,100,64.75972540045767,0.009900990099009901,0.15610097312975002,0.15324063764141313,0.18024643759397319,0.806861678135901,0.27589014162308345
3907081197088384000,18015.99737026,1638947.5950495,19.552191904378006,2540,4137,1.099241819853055,921.4310834493175,100,61.39714769156394,0.009900990099009901,0.10400662083066979,0.34750897588574314,0.35997967701696665,0.7649662705151455,0.326683069942673
3910887259807777281,1803.30201001,202111.79279,222.02093966966214,17,75,0.8922299808025962,8.122215916629646,100,22.666666666666664,0.009900990099009901,0.08726534249623638,0.10526752328927133,0.16776209548642965,0.2824110910186859,0.13825784371764926
3910983669796782848,6761.64804825,942371.130466,31.914908768879208,274,640,0.7175143454263485,211.86487159391172,100,42.8125,0.009900990099009901,0.07313589417759125,0.15930720101676382,0.2265482049324111,0.5334143309222422,0.2067848146374618
3911997667197443328,605.72231024,97435.47094,54.753237220622104,30,64,0.621665092184959,11.06276707985884,100,46.875,0.009900990099009901,0.06538445815334257,0.10604746029693361,0.1535636005129013,0.5840302893309222,0.18933370648405518
3914654298562589441,343.47044904999996,429177.2464067,64.78359706696081,200,483,0.08002997640851585,5.301811949327024,100,41.40786749482402,0.009900990099009901,0.021581822176053013,0.10451945351984715,0.1504543446248633,0.5159135751163426,0.16164212031492753
3919174299855478272,1456.3718076199998,2303775.7345284,100.026440275016,609,1267,0.06321673528339901,14.559868406951232,100,48.06629834254144,0.009900990099009901,0.020222116612010784,0.10697501387214468,0.16364889388845197,0.5988730480652992,0.1809561251586834
